coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
helium,HNT,2494318406.944497,0.28077894,5.95957873,-8.23992265,22.11787907222905,21184148.39827462
iota,MIOTA,2070380892.465688,0.87480717,6.01417528,3.13586044,0.7448671831814282,22523245.89234539
eos,EOS,2017473351.3599253,0.38736689,3.53253526,-3.14397489,2.0541815800925507,187728299.83478865
flow,FLOW,1957616503.130918,1.55902642,6.10309751,6.98367794,5.89870150663914,86918274.91192737
waves,WAVES,1868250756.894557,1.50463232,-6.62055616,40.30840298,17.353420542827937,568197738.4652686
maker,MKR,1805058106.6827796,0.29003525,4.31319833,-2.9423797,1846.3592484875808,44186429.03073342
bittorrent-new,BTT,1717607653.6736314,-0.07048586,2.0069755,-1.8935618,1.8593502027764892e-06,59741690.45642137
aave,AAVE,1711356682.995903,0.71037488,1.91067315,-4.68347397,125.56383609386752,117228358.32763386
pancakeswap,CAKE,1709284031.1826785,0.59991574,5.29244872,-2.39674162,6.239874162322311,77831253.09256735
harmony,ONE,1680947101.550145,1.34872358,3.25134775,-4.70471104,0.14229825289938597,90205708.60311785
the-graph,GRT,1655889370.17032,1.15344332,5.65098955,4.92543007,0.35114129609531936,48284971.2438107
zcash,ZEC,1643346100.7658234,1.56241942,3.90244433,11.81543844,118.36929678673602,165179599.60045978
gala,GALA,1636891274.6695347,1.63166896,8.36788988,-1.41245479,0.2346055723432958,536612754.90491384
thorchain,RUNE,1591061648.160398,0.11739192,-4.32468805,29.86651265,4.811367068226898,146692029.8017059
bitcoin-sv,BSV,1552345818.1484985,0.1718931,3.49440513,-2.04780488,81.71778025522872,87040027.41040723
neo,NEO,1541157615.6488328,0.34502115,4.42213569,7.95848241,21.848357759839157,97807062.76466767
kucoin-token,KCS,1493286301.357163,0.19760518,2.76038182,-3.69663233,18.638438428735682,4910558.57803232
quant,QNT,1490868079.2887566,1.64267866,5.40137816,13.68827315,123.49046912877233,42032516.50084675
stacks,STX,1480578554.8205705,0.33500288,2.26579691,-1.68602061,1.1372336525280462,9586409.09616866
huobi-token,HT,1452013208.445376,0.31100935,2.17551303,2.7809823,9.300375174998534,35716407.20741002
trueusd,TUSD,1442189302.3849654,0.00607631,-0.00162093,0.07733241,1.0001730954768333,89529997.9511011
anchor-protocol,ANC,1427638475.4119291,-5.44132443,4.74498817,52.97677249,5.4737467758032246,483456761.9585073
ecash,XEC,1394736506.7419631,0.50786978,4.89342384,0.17523455,7.342127111899825e-05,14367437.48685896
chiliz,CHZ,1350248202.3421779,-3.32999363,19.51452989,32.78067368,0.22598039885265148,671752500.3778851
